category	kaomoji	description
(っ˘ڡ˘ς)	Food	
( o˘◡˘o) ┌iii┐	Food	
(　’ω’)旦~~	Food	
( ˘▽˘)っ♨	Food	
♨o(>_<)o♨	Food	
( ・ω・)o-{{[〃]}}	Food	
(　・ω・)⊃-[二二]	Food	
( ・・)つ―{}@{}@{}-	Food	
( ・・)つ-●●●	Food	
(*´ー`)旦 旦(￣ω￣*)	Food	
(*´з`)口ﾟ｡ﾟ口(・∀・ )	Food	
( o^ ^o)且 且(´ω`*)	Food	
( ￣▽￣)[] [](≧▽≦ )	Food	
( *^^)o∀*∀o(^^* )	Food	
( ^^)_旦~~　 ~~U_(^^ )	Food	
(*￣▽￣)旦 且(´∀`*)	Food	
-●●●-ｃ(・・ )	Food	
( ・・)つ―●○◎-	Food	
ヾ(´〇`)ﾉ♪♪♪	Music	
ヘ(￣ω￣ヘ)	Music	
(〜￣▽￣)〜	Music	
〜(￣▽￣〜)	Music	
ヽ(o´∀`)ﾉ♪♬	Music	
